,predicted_mean
2018-12-01,409.25110876197164
2019-01-01,410.4038466831669
2019-02-01,411.09002643478874
2019-03-01,412.02057797890006
2019-04-01,413.4850590219028
2019-05-01,414.14327869998
2019-06-01,413.40470146662125
2019-07-01,411.65705911491415
2019-08-01,409.6027911305354
2019-09-01,408.14531855436945
2019-10-01,408.447022233924
2019-11-01,410.05077194437376
2019-12-01,411.4839691149099
2020-01-01,412.6758699014857
2020-02-01,413.369400126466
2020-03-01,414.30155161409834
2020-04-01,415.7658268225366
2020-05-01,416.4243674003698
2020-06-01,415.68602493722665
2020-07-01,413.9381267361833
2020-08-01,411.8841185880983
2020-09-01,410.4266286071913
2020-10-01,410.7284784409838
2020-11-01,412.3325512109436
2020-12-01,413.76559153897176
2021-01-01,414.9574619309197
2021-02-01,415.65098645113676
2021-03-01,416.58313669703915
2021-04-01,418.0474120652288
2021-05-01,418.70595239400825
2021-06-01,417.9676097486573
2021-07-01,416.2197117461815
2021-08-01,414.16570339643465
2021-09-01,412.7082134290357
2021-10-01,413.0100631493963
2021-11-01,414.614135668626
2021-12-01,416.0471761183813
2022-01-01,417.23904653391884
2022-02-01,417.93257105856344
2022-03-01,418.86472130542955
2022-04-01,420.3289966734952
2022-05-01,420.987537002468
2022-06-01,420.2491943572585
2022-07-01,418.5012963546286
2022-08-01,416.4472880050383
2022-09-01,414.9897980376288
2022-10-01,415.29164775807743
2022-11-01,416.8957202775017
2022-12-01,418.3287607271626
2023-01-01,419.52063114268185
2023-02-01,420.21415566732304
2023-03-01,421.1463059141884
2023-04-01,422.6105812822542
2023-05-01,423.2691216112268
2023-06-01,422.5307789660172
2023-07-01,420.7828809633874
2023-08-01,418.728872613797
2023-09-01,417.27138264638756
2023-10-01,417.5732323668361
2023-11-01,419.17730488626023
2023-12-01,420.6103453359212
2024-01-01,421.80221575144043
2024-02-01,422.49574027608156
2024-03-01,423.42789052294694
2024-04-01,424.8921658910127
2024-05-01,425.55070621998533
2024-06-01,424.8123635747757
2024-07-01,423.06446557214593
2024-08-01,421.01045722255554
2024-09-01,419.5529672551461
2024-10-01,419.85481697559464
2024-11-01,421.4588894950188
2024-12-01,422.89192994467976
2025-01-01,424.083800360199
2025-02-01,424.77732488484014
2025-03-01,425.7094751317055
2025-04-01,427.1737504997713
2025-05-01,427.8322908287439
2025-06-01,427.0939481835343
2025-07-01,425.3460501809045
2025-08-01,423.2920418313141
2025-09-01,421.83455186390466
2025-10-01,422.1364015843532
2025-11-01,423.7404741037774
2025-12-01,425.17351455343834
2026-01-01,426.3653849689576
2026-02-01,427.0589094935987
2026-03-01,427.9910597404641
2026-04-01,429.4553351085299
2026-05-01,430.1138754375025
2026-06-01,429.37553279229286
2026-07-01,427.6276347896631
2026-08-01,425.5736264400727
2026-09-01,424.11613647266324
2026-10-01,424.4179861931118
2026-11-01,426.02205871253597
2026-12-01,427.4550991621969
2027-01-01,428.64696957771616
2027-02-01,429.3404941023573
2027-03-01,430.2726443492227
2027-04-01,431.73691971728846
2027-05-01,432.39546004626106
2027-06-01,431.65711740105144
2027-07-01,429.90921939842167
2027-08-01,427.8552110488313
2027-09-01,426.3977210814218
2027-10-01,426.6995708018704
2027-11-01,428.30364332129454
2027-12-01,429.7366837709555
2028-01-01,430.92855418647474
2028-02-01,431.6220787111159
2028-03-01,432.55422895798125
2028-04-01,434.01850432604704
2028-05-01,434.67704465501964
2028-06-01,433.93870200981
2028-07-01,432.19080400718025
2028-08-01,430.13679565758986
2028-09-01,428.6793056901804
2028-10-01,428.98115541062896
2028-11-01,430.5852279300531
2028-12-01,432.0182683797141
2029-01-01,433.2101387952333
2029-02-01,433.90366331987445
2029-03-01,434.83581356673983
2029-04-01,436.3000889348056
2029-05-01,436.9586292637782
2029-06-01,436.2202866185686
2029-07-01,434.4723886159388
2029-08-01,432.41838026634844
2029-09-01,430.960890298939
2029-10-01,431.26274001938754
2029-11-01,432.8668125388117
2029-12-01,434.29985298847265
2030-01-01,435.4917234039919
2030-02-01,436.18524792863303
2030-03-01,437.1173981754984
2030-04-01,438.5816735435642
2030-05-01,439.2402138725368
2030-06-01,438.5018712273272
2030-07-01,436.7539732246974
2030-08-01,434.699964875107
2030-09-01,433.24247490769756
2030-10-01,433.5443246281461
2030-11-01,435.1483971475703
2030-12-01,436.58143759723123
2031-01-01,437.7733080127505
2031-02-01,438.4668325373916
2031-03-01,439.398982784257
2031-04-01,440.86325815232277
2031-05-01,441.5217984812954
2031-06-01,440.78345583608575
2031-07-01,439.035557833456
2031-08-01,436.9815494838656
2031-09-01,435.52405951645613
2031-10-01,435.8259092369047
2031-11-01,437.42998175632886
2031-12-01,438.8630222059898
2032-01-01,440.05489262150905
2032-02-01,440.7484171461502
2032-03-01,441.68056739301556
2032-04-01,443.14484276108135
2032-05-01,443.80338309005396
2032-06-01,443.0650404448443
2032-07-01,441.31714244221456
2032-08-01,439.26313409262417
2032-09-01,437.8056441252147
2032-10-01,438.10749384566327
2032-11-01,439.71156636508744
2032-12-01,441.1446068147484
2033-01-01,442.33647723026763
2033-02-01,443.03000175490877
2033-03-01,443.96215200177414
2033-04-01,445.4264273698399
2033-05-01,446.08496769881253
2033-06-01,445.3466250536029
2033-07-01,443.59872705097314
2033-08-01,441.54471870138275
2033-09-01,440.0872287339733
2033-10-01,440.38907845442185
2033-11-01,441.993150973846
2033-12-01,443.42619142350696
2034-01-01,444.6180618390262
2034-02-01,445.31158636366735
2034-03-01,446.2437366105327
2034-04-01,447.7080119785985
2034-05-01,448.3665523075711
2034-06-01,447.6282096623615
2034-07-01,445.8803116597317
2034-08-01,443.8263033101413
2034-09-01,442.36881334273187
2034-10-01,442.6706630631804
2034-11-01,444.2747355826046
2034-12-01,445.70777603226554
2035-01-01,446.8996464477848
2035-02-01,447.5931709724259
2035-03-01,448.5253212192913
2035-04-01,449.9895965873571
2035-05-01,450.6481369163297
2035-06-01,449.90979427112006
2035-07-01,448.1618962684903
2035-08-01,446.1078879188999
2035-09-01,444.65039795149045
2035-10-01,444.952247671939
2035-11-01,446.55632019136317
2035-12-01,447.9893606410241
2036-01-01,449.18123105654337
2036-02-01,449.8747555811845
2036-03-01,450.8069058280499
2036-04-01,452.27118119611566
2036-05-01,452.92972152508827
2036-06-01,452.19137887987864
2036-07-01,450.4434808772489
2036-08-01,448.3894725276585
2036-09-01,446.931982560249
2036-10-01,447.2338322806976
2036-11-01,448.83790480012175
2036-12-01,450.2709452497827
2037-01-01,451.46281566530195
2037-02-01,452.1563401899431
2037-03-01,453.08849043680846
2037-04-01,454.55276580487424
2037-05-01,455.21130613384685
2037-06-01,454.4729634886372
2037-07-01,452.72506548600745
2037-08-01,450.67105713641706
2037-09-01,449.2135671690076
2037-10-01,449.51541688945616
2037-11-01,451.1194894088803
2037-12-01,452.5525298585413
2038-01-01,453.7444002740605
2038-02-01,454.43792479870166
2038-03-01,455.37007504556703
2038-04-01,456.8343504136328
2038-05-01,457.4928907426054
2038-06-01,456.7545480973958
2038-07-01,455.00665009476603
2038-08-01,452.95264174517564
2038-09-01,451.4951517777662
2038-10-01,451.79700149821474
2038-11-01,453.4010740176389
2038-12-01,454.83411446729986
2039-01-01,456.0259848828191
2039-02-01,456.71950940746024
2039-03-01,457.6516596543256
2039-04-01,459.1159350223914
2039-05-01,459.774475351364
2039-06-01,459.0361327061544
2039-07-01,457.2882347035246
2039-08-01,455.2342263539342
2039-09-01,453.77673638652476
2039-10-01,454.0785861069733
2039-11-01,455.6826586263975
2039-12-01,457.11569907605843
2040-01-01,458.3075694915777
2040-02-01,459.0010940162188
2040-03-01,459.9332442630842
2040-04-01,461.39751963115
2040-05-01,462.0560599601226
2040-06-01,461.31771731491295
2040-07-01,459.5698193122832
2040-08-01,457.5158109626928
2040-09-01,456.05832099528334
2040-10-01,456.3601707157319
2040-11-01,457.96424323515606
2040-12-01,459.397283684817
2041-01-01,460.58915410033626
2041-02-01,461.2826786249774
2041-03-01,462.21482887184277
2041-04-01,463.67910423990855
2041-05-01,464.33764456888116
2041-06-01,463.59930192367153
2041-07-01,461.85140392104176
2041-08-01,459.7973955714514
2041-09-01,458.3399056040419
2041-10-01,458.6417553244905
2041-11-01,460.24582784391464
2041-12-01,461.6788682935756
2042-01-01,462.87073870909484
2042-02-01,463.56426323373597
2042-03-01,464.49641348060135
2042-04-01,465.96068884866713
2042-05-01,466.61922917763974
2042-06-01,465.8808865324301
2042-07-01,464.13298852980034
2042-08-01,462.07898018020995
2042-09-01,460.6214902128005
2042-10-01,460.92333993324905
2042-11-01,462.5274124526732
2042-12-01,463.96045290233417
2043-01-01,465.1523233178534
2043-02-01,465.84584784249455
2043-03-01,466.7779980893599
2043-04-01,468.2422734574257
2043-05-01,468.9008137863983
2043-06-01,468.1624711411887
2043-07-01,466.4145731385589
2043-08-01,464.36056478896853
2043-09-01,462.9030748215591
2043-10-01,463.20492454200763
2043-11-01,464.8089970614318
2043-12-01,466.24203751109275
2044-01-01,467.433907926612
2044-02-01,468.1274324512531
2044-03-01,469.0595826981185
2044-04-01,470.5238580661843
2044-05-01,471.1823983951569
2044-06-01,470.44405574994727
2044-07-01,468.6961577473175
2044-08-01,466.6421493977271
2044-09-01,465.18465943031765
2044-10-01,465.4865091507662
2044-11-01,467.0905816701904
2044-12-01,468.5236221198513
2045-01-01,469.7154925353706
2045-02-01,470.4090170600117
2045-03-01,471.3411673068771
2045-04-01,472.80544267494287
2045-05-01,473.4639830039155
2045-06-01,472.72564035870585
2045-07-01,470.9777423560761
2045-08-01,468.9237340064857
2045-09-01,467.46624403907623
2045-10-01,467.7680937595248
2045-11-01,469.37216627894895
2045-12-01,470.8052067286099
2046-01-01,471.99707714412915
2046-02-01,472.6906016687703
2046-03-01,473.62275191563566
2046-04-01,475.08702728370145
2046-05-01,475.74556761267405
2046-06-01,475.0072249674644
2046-07-01,473.25932696483466
2046-08-01,471.20531861524427
2046-09-01,469.7478286478348
2046-10-01,470.04967836828337
2046-11-01,471.65375088770753
2046-12-01,473.0867913373685
2047-01-01,474.27866175288773
2047-02-01,474.97218627752886
2047-03-01,475.90433652439424
2047-04-01,477.36861189246
2047-05-01,478.02715222143263
2047-06-01,477.288809576223
2047-07-01,475.54091157359323
2047-08-01,473.48690322400284
2047-09-01,472.0294132565934
2047-10-01,472.33126297704194
2047-11-01,473.9353354964661
2047-12-01,475.36837594612706
2048-01-01,476.5602463616463
2048-02-01,477.25377088628744
2048-03-01,478.1859211331528
2048-04-01,479.6501965012186
2048-05-01,480.3087368301912
2048-06-01,479.5703941849816
2048-07-01,477.8224961823518
2048-08-01,475.7684878327614
2048-09-01,474.31099786535196
2048-10-01,474.6128475858005
2048-11-01,476.2169201052247
